date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:47:03	37402/37402	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Sep%202022%2006:17:03%20GMT	http://drmadhurahomoeoclinic.com/	C:/My%20Web%20Sites/medapp/drmadhurahomoeoclinic.com/index.html	(from )
11:47:03	103/103	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Sep%202022%2006:17:02%20GMT	http://drmadhurahomoeoclinic.com/robots.txt		(from )
11:47:05	50642/50642	---M-Z	200	added ('OK')	text/css	etag:%22b434cae68fb7d61:0%22	http://drmadhurahomoeoclinic.com/plugin/bootstrap/css/bootstrap-grid.min.css	C:/My%20Web%20Sites/medapp/drmadhurahomoeoclinic.com/plugin/bootstrap/css/bootstrap-grid.min.css	(from http://drmadhurahomoeoclinic.com/)
11:47:06	3942/3942	---M-Z	200	added ('OK')	text/css	etag:%223dc3ee88fb7d61:0%22	http://drmadhurahomoeoclinic.com/plugin/bootstrap/css/bootstrap-reboot.min.css	C:/My%20Web%20Sites/medapp/drmadhurahomoeoclinic.com/plugin/bootstrap/css/bootstrap-reboot.min.css	(from http://drmadhurahomoeoclinic.com/)
11:47:07	160398/160398	---MCZ	200	added ('OK')	text/css	etag:%22db3bc3ea8fb7d61:0%22	http://drmadhurahomoeoclinic.com/plugin/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/medapp/drmadhurahomoeoclinic.com/plugin/bootstrap/css/bootstrap.min.css	(from http://drmadhurahomoeoclinic.com/)
11:47:07	10002/10002	---M-Z	200	added ('OK')	text/css	etag:%22ffcada34b4cfd61:0%22	http://drmadhurahomoeoclinic.com/css/custom/Default.css	C:/My%20Web%20Sites/medapp/drmadhurahomoeoclinic.com/css/custom/Default.css	(from http://drmadhurahomoeoclinic.com/)
11:47:07	6629/6629	---M-Z	200	added ('OK')	text/css	etag:%228bc53731b232d71:0%22	http://drmadhurahomoeoclinic.com/css/custom/Theme3.css	C:/My%20Web%20Sites/medapp/drmadhurahomoeoclinic.com/css/custom/Theme3.css	(from http://drmadhurahomoeoclinic.com/)
11:47:08	53592/53592	---MCZ	200	added ('OK')	text/css	etag:W/%22dc93d584e41f8417f6b7163320d34329%22	https://use.fontawesome.com/releases/v5.6.3/css/all.css	C:/My%20Web%20Sites/medapp/use.fontawesome.com/releases/v5.6.3/css/all.css	(from http://drmadhurahomoeoclinic.com/)
11:47:08	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	C:/My%20Web%20Sites/medapp/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from http://drmadhurahomoeoclinic.com/)
11:47:10	2949/2949	---M--	200	added ('OK')	image/png	etag:%22c9ba7227ab8d61:0%22	http://drmadhurahomoeoclinic.com/assets/images/Call-Icon.png	C:/My%20Web%20Sites/medapp/drmadhurahomoeoclinic.com/assets/images/Call-Icon.png	(from http://drmadhurahomoeoclinic.com/)
